mpg	cyl	wt	region	model
27.2	4	3190	eur	peugeot 504
32.8	4	1985	asia	mazda glc deluxe
18.1	6	3410	usa	amc concord d/l
17.5	8	4080	usa	dodge magnum xe
25.4	5	3530	eur	mercedes benz 300d
31	4	1773	asia	toyota corolla 1200
27.4	4	2670	usa	amc spirit dl
39.1	4	1755	asia	toyota starlet
34.3	4	2188	eur	audi 4000
30	4	2155	usa	buick opel isuzu deluxe
27	4	2640	usa	chevrolet cavalier wagon
39	4	1875	usa	plymouth champ
27	4	2100	asia	toyota corolla 1600 (sw)
33.5	4	2556	usa	pontiac phoenix
22.4	6	3415	usa	buick century
21	6	2587	usa	ford maverick
25	4	2220	eur	opel 1900
37	4	1975	asia	datsun 210 mpg
28.4	4	2670	usa	buick skylark limited
25.5	4	2300	usa	plymouth arrow gs
15	8	3693	usa	buick skylark 320
14	8	4464	usa	pontiac catalina brougham
20	8	3221	usa	chevrolet monza 2+2
26.6	4	2635	usa	buick skylark
31.6	4	2635	asia	mazda 626
18	8	3436	usa	plymouth satellite
20	4	2408	usa	chevrolet vega
23.9	8	3420	usa	oldsmobile cutlass salon brougham
25	4	2046	usa	ford pinto
14	8	4129	usa	ford galaxie 500
36	4	1980	eur	volkswagen rabbit l
15	8	4082	usa	chevrolet monte carlo s
16	6	3781	usa	chevrolet chevelle malibu classic
18.5	6	3645	usa	pontiac ventura sj
27	4	2950	usa	chevrolet camaro
24	4	2865	usa	ford fairmont futura
32.2	4	2265	asia	toyota corolla
26	4	2300	eur	opel manta
12	8	4951	usa	buick electra 225 custom
23	4	2694	eur	audi 100ls
40.9	4	1835	eur	renault lecar deluxe
19.2	8	3425	usa	chevrolet monte carlo landau
17	8	3672	usa	amc ambassador sst
30.7	6	3160	eur	volvo diesel
22	6	2815	asia	datsun 810
32	4	1990	asia	datsun b-210
13	8	4699	usa	buick century luxus (sw)
9	8	4732	usa	hi 1200d
26	4	2391	asia	subaru
27.9	4	2800	usa	dodge colt
24	4	2702	asia	toyota corona
24	4	2372	asia	toyota corona mark ii
14	8	4425	usa	pontiac catalina
38.1	4	1968	asia	toyota corolla tercel
20	4	3150	eur	volvo 245
